Country,Edu_Exp_GDP,Outbound Student %,Investment_Efficiency
Argentina,5.27689981460571,0.28842,18.2958872984041
United States,5.39998006820679,0.57977,9.31400394674921
Australia,5.37828016281128,0.83008,6.479231113641191
Mexico,4.50059986114502,0.70776,6.358935036092773
Dominican Republic,4.51769828796387,0.75531,5.9812504640000395
Brazil,5.77150011062622,0.9943,5.804586252264126
South Africa,6.17067003250122,1.12771,5.471858928715024
Philippines,3.85829043388367,0.77579,4.97336964111895
Japan,3.30628991127014,0.84619,3.9072665846560937
Denmark,7.38354015350342,1.96177,3.763713459530638
Chile,5.62993001937866,1.50709,3.7356296036591448
United Kingdom,5.43935012817383,1.46618,3.709878819908763
Algeria,6.1939172744751,2.07809,2.9805818200728074
India,4.04014158248901,1.43562,2.8142137769667532
New Zealand,5.65149021148682,2.01435,2.8056148194141137
Netherlands,5.42381000518799,2.07432,2.614741218899683
Poland,4.85265016555786,1.91047,2.5400295035032534
Sweden,7.92561006546021,3.33338,2.3776497325418076
Spain,4.89540004730225,2.20567,2.2194616816215706
Belgium,6.80185985565186,3.29526,2.064134500965587
Thailand,3.15314173698425,1.64462,1.917246377269065
China,4.2333812713623,2.20816,1.9171533183113092
Finland,6.6349401473999,3.71605,1.7854819357651
Botswana,8.05833625793457,4.65327,1.7317577226196998
Canada,4.88794994354248,2.88618,1.6935707210023212
World,4.44135999679565,2.7495,1.6153336958703948
Ecuador,4.26103019714355,2.69423,1.5815391399930778
El Salvador,3.66088008880615,2.34825,1.5589822586207387
Norway,8.3728199005127,5.41363,1.5466184243313081
Panama,4.30284023284912,2.84426,1.5128153659824068
Germany,5.59038019180298,3.76501,1.4848247924449018
Namibia,9.27799892425537,6.39282,1.4513155265212174
France,5.65981006622314,3.96145,1.4287218231261634
Israel,6.47881984710693,4.78976,1.3526397663154166
Slovenia,5.38373994827271,4.23518,1.2711950727649617
Uruguay,4.54292011260986,3.62712,1.2524868525468855
Bangladesh,1.76528060436249,1.42235,1.2411014197366963
Czechia,4.72159004211426,3.83097,1.2324789915124001
Ukraine,5.38231992721558,4.55811,1.1808227373221751
Morocco,6.28428268432617,5.33591,1.1777340105673015
Italy,4.44135999679565,4.16162,1.067219014901805
Portugal,4.87656021118164,4.69871,1.037850859317055
Madagascar,3.25443387031555,3.16009,1.0298548048680733
Burkina Faso,5.15086507797241,5.0322,1.0235811529693595
Ghana,3.40915989875793,3.49191,0.9763023384789213
Austria,5.57126998901367,5.71265,0.975251413794591
Malaysia,4.51888704299927,4.78352,0.9446781957636364
Switzerland,5.27676010131836,5.83173,0.9048361466183037
Greece,4.49500036239624,5.04083,0.8917183008346324
Pakistan,2.05718231201172,2.33917,0.8794496817297246
Hungary,4.1535701751709,4.81543,0.862554366935227
United Arab Emirates,3.98417997360229,4.97146,0.801410445543621
Malta,5.6448712348938,7.12188,0.7926097090787545
Tunisia,7.26507568359375,9.34798,0.7771813465148353
Belarus,4.86263990402222,6.39432,0.7604623953793712
Senegal,5.6869797706604,7.63675,0.7446858638374177
Latvia,4.85059022903442,6.66276,0.7280151512337861
Croatia,4.38901996612549,6.20676,0.707135440411018
Estonia,5.52696990966797,8.35189,0.6617627758109805
Togo,4.09133672714233,6.38103,0.6411718370141388
Georgia,3.8498592376709,6.17054,0.623909615312582
Romania,3.58926010131836,5.80564,0.6182367665439744
Iceland,8.58382987976074,14.29812,0.6003467504651478
Belize,5.2163200378418,8.96476,0.5818694575026884
Cote d'Ivoire,3.78674006462097,7.11633,0.5321197955436258
Oman,6.87769985198975,12.99186,0.5293853114172835
Ireland,3.25081992149353,6.41288,0.5069204353572077
Armenia,2.70555996894836,5.63356,0.4802575935906176
Rwanda,3.33394289016724,6.98985,0.47696916102165854
Lithuania,4.50859022140503,9.76704,0.461612752830441
Benin,3.09441518783569,7.01164,0.4413254513688224
Kazakhstan,4.44620370864868,10.80152,0.4116275958058384
Bulgaria,4.50513982772827,11.23784,0.4008901913293186
Cameroon,3.10390138626099,7.75202,0.40039904260579695
Albania,3.3422999382019,9.02751,0.3702349748936196
Kuwait,6.24513053894043,18.95224,0.3295193886812551
Moldova,6.6012601852417,25.40596,0.2598311650196135
Azerbaijan,4.33204984664917,18.04238,0.2401041241038693
Mauritius,4.35243988037109,18.39059,0.23666668009950145
Bahrain,2.55237460136414,10.91064,0.23393445309937272
Uzbekistan,4.94803667068481,21.85901,0.22636142582325594
Lebanon,1.66996812820435,8.42878,0.19812690901937766
Nepal,4.21106672286987,22.3702,0.1882444825200432
Sri Lanka,1.55792391300201,9.13949,0.17046070546627984
Bosnia and Herzegovina,3.01954078674316,18.33002,0.16473199629586655
Qatar,3.2336699962616,22.01123,0.1469100089482323
Tonga,4.86051654815674,33.15453,0.1466018836085669
Samoa,4.48100519180298,32.7114,0.13698604131290562
Bhutan,5.54341268539429,44.02602,0.12591219204902668
Cyprus,5.63694000244141,48.86651,0.11535384872873897
Chad,2.73960399627686,29.3683,0.09328439154724175
Mauritania,1.802649974823,25.03488,0.07200553686788193
Seychelles,4.89120054244995,68.68459,0.07121248801878195
British Virgin Islands,2.70538997650146,60.21354,0.04492992733032238
Turkmenistan,3.76267004013062,106.49721,0.0353311606954832
San Marino,3.4246199131012,119.21884,0.028725492657881924
Luxembourg,3.85349988937378,170.78278,0.022563749631981517
Andorra,2.63213038444519,247.49716,0.010634992274033327
