Country,Inbound Student %,Outbound Student %,Country_Code,Tertiary_Enrollment,Literacy_Rate,Edu_Exp_Govt_Share,Youth_NEET,Advanced_Edu_Labor,Edu_Exp_GDP,HDI Rank,Education Inequality,Population Rank,Growth Rate (%),World Population (%),Density,Land Area,2020 Population Rank,2020 World Population (%),2020 Growth Rate (%),Area,Capital City,Region,Subregion,GDP Per Capita [$],GDP (IMF) [$],GDP (UN) [$]
Luxembourg,48.388,170.78278,LUX,19.961389541626,,10.6569862365723,6.712,79.443,3.85349988937378,17,4.71707,169,1.66,0.01,242.06,2590,169,0.01,1.66,2586,Luxembourg,Europe,Western Europe,117724.58,73690000000.0,58630000000.0
Australia,25.995,0.83008,AUS,110.139221191406,,14.4562530517578,10.706,78.315,5.37828016281128,5,3.056569899,55,1.18,0.33,3.32,7682300,55,0.33,1.18,7692024,Canberra,Oceania,Australia and New Zealand,58096.73,1480000000000.0,1300000000000.0
United Kingdom,20.148,1.46618,GBR,69.5303802490234,,10.4407529830933,12.607,85.343,5.43935012817383,18,2.84785,21,0.53,0.87,279.48,241930,21,0.87,0.53,242900,London,Europe,Northern Europe,43117.57,2930000000000.0,2650000000000.0
Switzerland,18.143,5.83173,CHE,68.0676422119141,,14.2427225112915,8.621,81.272,5.27676010131836,1,2.01457,101,0.74,0.11,209.64,39516,101,0.11,0.74,41284,Bern,Europe,Western Europe,85584.56,740700000000.0,668850000000.0
Austria,17.977,5.71265,AUT,88.7071990966797,,8.94960975646973,11.419,76.765,5.57126998901367,25,2.52241,97,0.57,0.12,107.38,82409,97,0.12,0.57,83871,Vienna,Europe,Western Europe,53481.76,481680000000.0,390800000000.0
Canada,17.616,2.88618,CAN,74.1571426391602,,9.87754249572754,17.865,73.017,4.88794994354248,15,2.521,39,0.89,0.48,3.78,9093510,39,0.48,0.89,9984670,Ottawa,Americas,Northern America,48552.87,1830000000000.0,1530000000000.0
New Zealand,17.485,2.01435,NZL,75.7348327636719,,14.436502456665,12.94,83.42,5.65149021148682,13,1.840131778,126,0.82,0.06,17.83,263310,126,0.06,0.82,270467,Wellington,Oceania,Australia and New Zealand,46647.06,224940000000.0,187520000000.0
Hungary,13.476,4.81543,HUN,54.6020393371582,,9.3338794708252,11.713,71.791,4.1535701751709,46,2.86309,94,-0.25,0.12,103.84,90530,94,0.12,-0.25,93028,Budapest,Europe,Eastern Europe,18398.3,177730000000.0,125820000000.0
Netherlands,13.321,2.07432,NLD,85.3370819091797,,10.9442539215088,4.673,78.973,5.42381000518799,10,4.86674,69,0.22,0.22,409.44,33720,69,0.22,0.22,41850,Amsterdam,Europe,Western Europe,55730.27,954930000000.0,777230000000.0
Latvia,12.78,6.66276,LVA,94.5108337402344,,13.7033176422119,8.547,83.035,4.85059022903442,39,2.22774,151,-1.08,0.02,29.22,62200,151,0.02,-1.08,64559,Riga,Europe,Northern Europe,20200.42,38100000000.0,27570000000.0
Estonia,12.301,8.35189,EST,72.0443572998047,,14.2844390869141,9.204,81.853,5.52696990966797,31,2.02737,155,0.07,0.02,29.33,42390,155,0.02,0.07,45227,Tallinn,Europe,Northern Europe,25053.99,33229999999.999996,23340000000.0
Portugal,11.573,4.69871,PRT,67.7980194091797,,9.60721397399902,9.143,82.472,4.87656021118164,38,13.05276,89,-0.29,0.13,110.73,91590,89,0.13,-0.29,92090,Lisbon,Europe,Southern Europe,24509.08,249910000000.0,204840000000.0
